text,datetime,text_clean,sentiment
Acho que até o Boulos vai votar no Ciro https://t.co/VW2Gc6voFS,2018-10-05 00:19:06+00:00,achar o boulos votar o ciro,0.0
"Ciro Gomes é um canalha, participou de 2 debates com o Bolsonaro, porque não falou isso que está falando nesse ? Porque além de tudo é um covarde. 
#DebateNaGlobo",2018-10-04 23:26:12+00:00,ciro gomar canalha participar 2 debater o bolsonaro falar falar n covarde debatenaglobo,-1.0
Bolsonaro explodiu em buscas nas últimas horas. https://t.co/XfDuOEuGXk,2018-10-05 00:50:16+00:00,bolsonaro explodir buscar o horar,0.0
#TsunamiCiro12 #DebateNaGlobo O Boulos arrasou com o Fascista que não apareceu hoje Ditadura nunca mais !,2018-10-04 23:49:33+00:00,tsunamiciro12 debatenaglobo o boulos arrasar o fascista aparecer ditadura,1.0
esse debate só reafirma a minha certeza de que meu voto é no ciro #DebateNaGlobo https://t.co/tfSlHhJTH2,2018-10-05 00:24:03+00:00,debater só reafirmar o votar o ciro debatenaglobo,1.0
“ Bomba! PF descobre e denuncia que Jair Bolsonaro é o líder de uma seita destruidora! A seita que dói menos!”( @RicaPerrone ).,2018-10-04 21:59:57+00:00,“ bomba pf descobrir e denunciar jair bolsonaro o líder umar seita destruidor o seita doer @ricaperrone,0.0
"o boulos lembra muito o lula da época do sindicato dos metalúrgicos, mano, que doidera como o imaginário pede figur… https://t.co/Cwc5tQC0CT",2018-10-04 22:39:15+00:00,o boulos lembrar o lula época sindicato metalúrgico manir doidera comer o imaginário pedir figur …,0.0
HAHAHAHAHAHAHHAHA CIRO FALA “não existe salvador da pátria” uma piada mesmo hahahahahahahahahahaha,2018-10-04 22:29:27+00:00,hahahahahahahhaha ciro falir “ existir salvador pátrio umar piar hahahahahahahahahahaha,-1.0
"Pessoal, essa campanha em rede social pró Ciro não vai resultar em muita coisa. A base eleitoral do Haddad (que é quem tentam convencer a mudar o voto) não tá em rede social. A maioria possui baixa escolaridade e uma boa parte é analfabeta... +",2018-10-04 21:58:18+00:00,pessoal campanha redar social pró ciro resultar o base eleitoral haddad convencer o mudar o votar tá redar social o possuir escolaridade e umar analfabeto,-1.0
"Porra, Boulos! Puta que pariu! Finalmente. Obrigado!",2018-10-05 00:18:59+00:00,porra boulos puta parir finalmente obrigar,1.0
"#BolsonaroNaRecordTV
Começou!!! Jair Bolsonaro na Record. https://t.co/hCT24q9ttQ",2018-10-04 22:11:32+00:00,bolsonaronarecordtv começar jair bolsonaro o record,0.0
Já quero esse vídeo de Boulos. Foi demais,2018-10-04 22:40:23+00:00,querer vídeo boulos,1.0
"A única maneira de retomar o crescimento da economia é incluir os pobres no orçamento, como já fizemos com muito sucesso. #HaddadÉ13 #DebateNaGlobo https://t.co/ZijfXzHUTI",2018-10-05 00:43:56+00:00,o único maneiro retomar o crescimento economia incluir o pobre o orçamentar comer sucesso haddadé13 debatenaglobo,1.0
"Essa entrevista tá um espetáculo, BOLSONARO destruindo uma a uma todas as fakenews q foram criadas principalmente enqto ele esteve no hospital &lt;333 #BolsonaroNaRecord https://t.co/f4Cffn3jgJ",2018-10-04 22:26:45+00:00,entrevisto tá espetáculo bolsonaro destruir umar o umar o fakenews q criar principalmente enqto estevar o hospital lt;333 bolsonaronarecord,1.0
"A criatura superando o seu criador!
- A extensa ficha corrida de Haddad!
#VemComBolsonaro17 https://t.co/QyOZ6tXl1z",2018-10-04 21:51:42+00:00,o criatura superar o criador o extenso fichar corrido haddad vemcombolsonaro17,-1.0
"Boulos: “Se você vai votar no domingo, é porque muita gente deu a vida por isso. Chegou a hora de dizer: DITADURA NUNCA MAIS!” 

PISOU NOS FASCISTAS! #DebateNaGlobo https://t.co/0yjuXb8mVA",2018-10-04 22:38:17+00:00,boulos “ votar o domingo gente o vidar chegar o horar ditadura pisar o fascista debatenaglobo,1.0
"De Álvaro Dias (@alvarodias_) para Fernando Haddad (@Haddad_Fernando) no #DebateNaGlobo: ""Depois do debate eu vou te entregar a pergunta por escrito pra você levar pra quem realmente vai responder""
Botox Dias batendo forte no Dilmad hoje.",2018-10-04 23:25:36+00:00,álvaro @alvarodias parir fernando haddad @haddad_fernando o debatenaglobo debater entregar o perguntar escrever pra levar pra realmente responder botox bater forte o dilmad,1.0
Ciro Games https://t.co/0VNZQdBazL,2018-10-05 00:31:12+00:00,ciro gamar,0.0
#BolsonaroNaRecord Só dá Bolsonaro! Brasil! 🇧🇷,2018-10-04 22:13:41+00:00,bolsonaronarecord só bolsonaro brasil 🇧 🇷,1.0
"Fernando Haddad, candidato de Lula à Presidência, participa de debate da Globo #HaddadÉ13 https://t.co/oSp5SrBfoN",2018-10-04 22:52:18+00:00,fernando haddad candidatar lula presidência participar debater globo haddadé13,0.0
Marina Silva falando que o Bolsonaro amarelou KKKKKKK,2018-10-04 23:26:50+00:00,marino silvar falar o bolsonaro amarelar kkkkkkk,1.0
"Álvaro Dias falando em investir na educação faz minha mãe pular do sofá e gritar com a tv - ela é um anjo de calma. 

Minha vó foi uma das professores que segurou os cavalos desse farsante, no dia 30 de agosto de 1988. Todo ano, nessa data, os professores paranaenses paralisam.",2018-10-05 00:47:50+00:00,álvaro falar investir o educação mãe pular sofá e gritar o tv anjo calmo vó umar professorar segurar o cavalo d farsante o 30 agostar 1988 n datar o professorar paranaense paralisar,-1.0
e desde quando o ciro gomes tá preso? vote ciro 12 https://t.co/9XjASmAxDv,2018-10-04 22:04:43+00:00,e o ciro gomar tá presar votar ciro 12,-1.0
"- Não pode participar do debate por ""orientações médicas""
- Vou dar entrevista na Record 
Como alguém ainda da crédito pra esse cara 🤦‍♀️
#arregao https://t.co/BAS6p8MpoZ",2018-10-05 00:22:36+00:00,participar debater orientação médico entrevisto o record comer alguém crédito pra caro 🤦 ‍ ♀ ️ arregao,-1.0
"Quando está na frente de seus adversários, Ciro é pura simpatia. Chama todos de ""estimados amigos"" e ""colegas"". Quando está longe, é de filho da puta para baixo.",2018-10-04 23:03:44+00:00,o frente adversário ciro puro simpatia chamar estimar amigo e colega filhar puta parir baixar,-1.0
Bolsonaro mais uma vez amarelou. Ele deu uma entrevista pra Record e não veio aqui debater conosco #DebateNaGlobo #Vote18,2018-10-05 00:49:09+00:00,bolsonaro umar amarelar umar entrevisto pra record e vir debater conosco debatenaglobo vote18,-1.0
"nada me comoveu mais do que este vídeo da marina, na eleição de 2018. tudo o que ela diz aqui é precioso. pra mim isso vai ficar como guia, até como consolo: ""servir é oferecer algo que a pessoa tbm pode recusar. qdo vc encara política dessa forma, é muito libertador."" https://t.co/Kd78uN52KU",2018-10-05 00:49:20+00:00,nado comover vídeo marino o eleição 2018 o precioso pra mim ficar comer guiar comer consolar servir oferecer o pessoa tbm recusar qdo vc encarar político d formar libertador,1.0
"alckmin: ""a reforma trabalhista não tira um direito do trabalhador""

ME SEGURA SENÃO EU VOU AGREDIR O ALCKMIN",2018-10-04 22:47:43+00:00,alckmin o reformar trabalhista tirar direito trabalhador seguro senão agredir o alckmin,-1.0
"mano o silêncio enquanto o Boulos fala a verdade dolorosa e sombria sobre a ditadura militar
#DebateNaGlobo https://t.co/OwqgkWOVVi",2018-10-04 23:01:58+00:00,manir o silêncio o boulos falir o doloroso e sombrio sobrar o ditadura militar debatenaglobo,1.0
"Parece que está rolando uma competição na Globo para ver quem ofende mais o povo brasileiro por preferir um candidato autêntico, de fala simples, e que comunga dos valores e opiniões do povo brasileiro, em vez de robozinhos patéticos como Haddad, Ciro, Alckmin, Marina, etc.",2018-10-04 22:57:06+00:00,parecer rolar umar competição o globo parir ofender o brasileiro preferir candidatar autêntico falir simples e comungar valorar e opinião brasileiro robozinhos patético comer haddad ciro alckmin marino etc,-1.0
alckmin é um coitado chacota demais nenhuma pesso sensata suporta essa velha falsa https://t.co/bJIiuDHlqP,2018-10-04 22:17:00+00:00,alckmin coitar chacota nenhum pesso sensato suportar velho falso,-1.0
"Enquete sobre o segundo turno das eleições!
Em quem você votaria se caso o segundo turno for entre Fernando Haddad e Geraldo Alckmin?🤔
#Eleições2018 @TSEjusbr",2018-10-04 23:49:26+00:00,enquete sobrar o segundar turno eleição votar casar o segundar turno entrar fernando haddad e geraldo alckmin 🤔 eleições2018 @tsejusbr,0.0
"na olimpíada da mentira o PT é medalha de ouro

no battle royale da corrupção o PT é o último sobrevivente

na maratona da maracutaia o PT é o mais resistente

nos 100m rasos da ladroagem o PT é o usain bolt

isso e muito mais no meu novo livro Álvaro Dias Faz Analogias Com o PT",2018-10-04 23:56:57+00:00,o olimpíada mentir o pt medalhar ourar o battle royale corrupção o pt o sobrevivente o maratona maracutaia o pt o resistente o 100 m raso ladroagem o pt o usain bolt e o livrar álvaro analogia o pt,0.0
gente o meirelles birutasso,2018-10-04 22:20:01+00:00,gente o meirelles birutasso,-1.0
"Eu choro de tristeza com essas # GENTE, QUEM CAUSOU O PROBLEMA NÃO VAI RESOLVER ELE. Parem de serem trouxas #HaddadÉ13",2018-10-04 22:06:47+00:00,chorar tristeza gente causar o problema resolver parir trouxa haddadé13,-1.0
Alvaro Dias passou no barzinho antes do debate kkkkkkkkkkkkk #DebateNaGlobo,2018-10-04 23:02:27+00:00,alvaro passar o bar antar debater kkkkkkkkkkkkk debatenaglobo,-1.0
"Se foi possível construir um país com direitos, isso se deve a democracia. É a liberdade que te permite exigir dos governantes o compromisso social. #HaddadÉ13 #DebateNaGlobo https://t.co/UnTZjwRqQm",2018-10-05 00:28:56+00:00,construir país direito dever o democracia o liberdade permitir exigir governante o compromisso social haddadé13 debatenaglobo,0.0
"#Eleições2018 | Ciro Gomes (PDT) faz o ataque mais severo à candidatura Bolsonaro (PSL) até o momento: ""Me assusta uma equipe de três pessoas, Bolsoanro, Mourão e Paulo Guedes, já brigando nas vésperas da eleição"" #DebateNaGlobo",2018-10-05 00:08:18+00:00,eleições2018 ciro gomar pdt o atacar severo candidatura bolsonaro psl o assustar umar equipar pessoa bolsoanro mourão e paulo guedes brigar o véspera eleição debatenaglobo,-1.0
"Boulos falando sobre os riscos de uma nova de DITADURA foi um dos melhores e mais chocantes momentos dos ultimos debates
#DebateNaGlobo  https://t.co/drRTKFqzzp",2018-10-05 00:02:06+00:00,boulos falar sobrar o risco umar ditadura melhorar e chocante ultimos debater debatenaglobo,1.0
Marina é mais bonita que Alckmin e isso ninguém aponta,2018-10-04 23:10:53+00:00,marino bonito alckmin e ninguém,0.0
"(...) na mesma moeda
No meu entendimento isso explica o efeito Bolsonaro 
Tantos motivos pra acreditar que ele é um… https://t.co/cOJxRO6F0c",2018-10-05 00:28:17+00:00,o moeda o entendimento explicar o efeito bolsonaro motivo pra acreditar …,0.0
"""com o tempo de 30s q o Meirelles gasta pra fazer uma pergunta, o Enéas leria a Bíblia, o Senhor dos Anéis e As Crô… https://t.co/sNBdANv2TJ",2018-10-05 00:10:21+00:00,o 30s q o meirelles gasto pra umar perguntar o enéas leriar o bíblia o senhor anel e o crô …,-1.0
"- Sr Álvaro dias a quem vai fazer sua pergunta

- Ao Beiréles",2018-10-04 22:18:08+00:00,sr álvaro o suar perguntar o o beiréles,-1.0
"Olha Brito por mim sairia as duas até pq o bozo é 1 exemplo de facismo ao vivo, até usar pomada pra tratar facada com fungo ele tá usando. Haddad só fala e caga e eles n acrescentam em nada pq ambas n sabem cuidar do país e ambas fingem gostar de pobre.
Vem de #Ciro12 Brasil🇧🇷 https://t.co/zHqAZsRQh5",2018-10-04 21:53:33+00:00,olhar britar mim sair o pq o bozo 1 facismo o o viver pomada pra tratar facada fungar tá haddad só falir e cagar e n acrescentar nado pq n cuidar país e fingir gostar pobre vir ciro12 brasil 🇧 🇷,-1.0
"meu pai ""bolsonaro tem que ser colocado numa camisa de força junto com esses eleitores e trancar tudo numa jaula e… https://t.co/zaUdZH4mS8",2018-10-04 23:41:21+00:00,pai bolsonaro colocar camisa forçar juntar eleitor e trancar jaula e …,-1.0
plmds o ciro tem q ganhar,2018-10-05 00:47:21+00:00,plmds o ciro q ganhar,1.0
"-nossa, que calor

-se o bolsonaro já tivesse na presidência isso seria diferente

-mas o que tem ave

-bolsonaro2018

-mas

-vota no lula então, que tá preso

-ué, mas

-sabia, para não votar bolsonaro tem que defender bandido mesmo",2018-10-05 00:48:59+00:00,-nossa calor -se o bolsonaro o presidência seriar diferente -mas o ave -bolsonaro2018 -mas -vota o lula tá presar -ué -sabia parir votar bolsonaro defender bandido,-1.0
Álvaro Dias tá de fogo  #DebateNaGlobo,2018-10-05 00:33:31+00:00,álvaro tá fogo debatenaglobo,-1.0
"Jair Bolsonaro aparecerá na RecordTV no horário do debate realizado pela TV Globo, diz colunista… https://t.co/HjGZdxgI0b",2018-10-04 22:03:22+00:00,jair bolsonaro aparecer o recordtv o horário debater realizar pelar tv globo colunista …,0.0
"e o ""contra-hegemônico"" El País transmitindo debate online com foto e chamada do #Elenão, que nem tá lá pra contar história",2018-10-05 00:28:53+00:00,e o hegemônico el país transmitir debater online foto e chamar elenão tá pra contar história,-1.0
Álvaro dias eh literalmente o meme CHEGA BASTA MUDA BRASIL CHEGA DE CORRUPÇÃO ESTAMOS CANSADOS,2018-10-04 23:06:44+00:00,álvaro eh literalmente o meme chegar basto mudo brasil chegar corrupção cansar,-1.0
meu deus o PT foi o governo + corporativista da história e o haddad acha que tem o direito de falar algo,2018-10-04 22:17:41+00:00,deus o pt o governar corporativista história e o haddad achar o direito falar,-1.0
"De Ciro Gomes (@cirogomes) no #DebateNaGlobo: ""Por essa emenda 95 o Brasil está proibido de expandir os gastos com saúde e educação por 20 anos"".
FALSO: Como disse Henrique Meirelles (@meirelles), não há teto para saúde e educação, há piso (gasto mínimo). Coroné mentiu novamente.",2018-10-05 00:28:24+00:00,ciro gomar @cirogomes o debatenaglobo emendar 95 o brasil proibir expandir o gasto saudar e educação 20 falsar comer henrique meirelles @meirelles haver teto parir saudar e educação haver pisar gastar mínimo coroné mentir novamente,-1.0
"@vinisemideia Querido, ele deu várias entrevistas essa semana, inclusive uma vai ao ar hj mesmo, mas ao debate ele… https://t.co/TYXAPAtbcD",2018-10-04 23:09:08+00:00,@vinisemideia querer entrevisto semana inclusive umar o o ar hj o o debater …,-1.0
"Ciro ataca Bolsonaro again: ""neta e filha que são meus orgulhos. Não fraquejada"".",2018-10-05 00:24:46+00:00,ciro atacar bolsonaro again neto e filho orgulho fraquejar,-1.0
Proximo  tema: pq votar no Ciro 12 #TsunamiCIRO https://t.co/XzWgBn1kec,2018-10-04 23:13:45+00:00,proximo temer pq votar o ciro 12 tsunamiciro,1.0
"Meus dois amores juntos!

Boulos e Haddad ❤
#HaddadPresidente 
#DebateNaGlobo",2018-10-04 22:32:41+00:00,amor junto boulos e haddad ❤ haddadpresidente debatenaglobo,1.0
"Boulos: “Se você vai votar no domingo, é porque muita gente deu a vida por isso. Chegou a hora de dizer: DITADURA NUNCA MAIS!” 
OBRIGADO, BOULOS!
#DebateNaGlobo",2018-10-04 23:32:13+00:00,boulos “ votar o domingo gente o vidar chegar o horar ditadura obrigar boulos debatenaglobo,1.0
vai Ciro  #DebateGlobo https://t.co/KSuq8tHl6Q,2018-10-04 22:13:34+00:00,ciro debateglobo,1.0
Ótimo seria se o Coiso não fosse tão covarde e tivesse ido pro #DebateNaGlobo ser massacrado pelo Ciro. https://t.co/7m0d3kPrBj,2018-10-04 22:33:49+00:00,ótimo seriar o coiso covarde e pro debatenaglobo massacrar pelar ciro,-1.0
"""Essa pessoa não tem condições de administrar o país. Alguém para administrar um país tem que estar disposto a enfrentar as intempéries"", diz @meirelles sobre ausência de @jairbolsonaro no #DebateNaGlobo",2018-10-04 23:47:19+00:00,pessoa condição administrar o país alguém parir administrar país dispor o enfrentar o intempérie @meirelles sobrar ausência @jairbolsonaro o debatenaglobo,-1.0
"O Ciro é demais! O Bonner se enrolou na condução do debate e Ciro o lembrou que ainda tinha um tema para ser perguntado. E depois ainda brincou que tinha ganhado o voto do Bonner. Kkkk
#Ciro12 #TsunamiCiro #DebateNaGlobo",2018-10-05 00:30:59+00:00,o ciro o bonner enrolar o condução debater e ciro o lembrar temer parir perguntar e brincar ganhar o votar bonner kkkk ciro12 tsunamiciro debatenaglobo,1.0
"a fala histórica do boulos contra a ditadura. pra rever e se emocionar de novo #DebateNaGlobo 
https://t.co/jsJRjjhKIi",2018-10-04 22:54:54+00:00,o falir histórico boulos o ditadura pra rever e emocionar debatenaglobo,1.0
"Mano, esse debate pode mudar toda a história do nosso país. Vocês estão ligados que estamos vivendo isso?",2018-10-04 22:11:18+00:00,manir debater mudar o história país ligar viver,-1.0
@ptbrasil A FILHA DO ÁLVARO DIAS TRABALHA DE COMUSSIONADA NA ALESC E ELE FAKA DE TROCA DE CARGOS ???? Pesquise,2018-10-04 22:28:55+00:00,@ptbrasil o filho álvaro comussionada o alesc e faka trocar cargo pesquisar,-1.0
"Boulos disse o essencial, que ninguem está dizendo: a democracia está em perigo. Isso é sério pra caralho.",2018-10-04 23:14:56+00:00,boulos o essencial ninguem o democracia perigar sério pra caralho,-1.0
COTAS SIM! #HaddadÉ13 https://t.co/dfIUw45Tny,2018-10-04 22:11:52+00:00,cotar haddadé13,1.0
"cadê o vídeo do boulos falando? quero na minha mesa em 10 minutos!

#DebateNaGlobo",2018-10-04 22:43:41+00:00,cadê o vídeo boulos falar querer o mesa 10 minuto debatenaglobo,1.0
"Em Roraima, Bolsonaro tem 52% das intenções de voto enquanto o PT tem só 8%.

Sabe por que???

Porque nenhum brasileiro conhece melhor os horrores do regime venezuelano do que o roraimense.
#PTNuncaMais
#VemComBolsonaro17",2018-10-04 23:53:02+00:00,roraima bolsonaro 52 intenção votar o pt só 8 nenhum brasileiro conhecer melhor o horror regime venezuelano o roraimense ptnuncamais vemcombolsonaro17,-1.0
Ciro ta muito bem; mas ta faltando falar o número DOZE porraaaa! O povo quer votar nele mas vai automático no 13. #DebateNaGlobo #Ciro12 #CiroNaGlobo #ChamaoMeirelles #TsunamiCIRO,2018-10-05 00:18:58+00:00,ciro ta ta faltar falar o porraaaa o querer votar n automático o 13 debatenaglobo ciro12 cironaglobo chamaomeirelles tsunamiciro,-1.0
"Pra quem vocês dão preferência para Presidente do Brasil: 
Jair Messias Bolsonaro (Retweet) 
Fernando Haddad (Curti) 
Outros (Comenta) https://t.co/8uJWpnYSyi",2018-10-04 23:58:53+00:00,pra preferência parir presidente brasil jair messias bolsonaro retweet fernando haddad curtir comentar,0.0
Eu to AMANDO esse debate cheio de ataques ao bozossauro,2018-10-05 00:11:18+00:00,to amar debater cheio ataque o o bozossauro,1.0
"""Eu sei o que foram os 12 anos de governo do PT. Sei o que foram 20 milhões de empregos""
#HaddadÉ13 #DebateNaGlobo",2018-10-04 23:33:11+00:00,o o 12 governar pt o 20 milhão emprego haddadé13 debatenaglobo,1.0
"Bastou os evangélicos declararem apoio ao Jair Bolsonaro que a mídia tentou queimá-lo com esse papinho do pseudo aborto.

Vocês são cretinos e muito, muito, previsíveis.",2018-10-05 00:48:21+00:00,bastar o evangélico declarar apoiar o o jair bolsonaro o mídia queimar o papo pseudo abortar cretino e previsível,-1.0
ciro caralho eu sou teu,2018-10-04 23:45:33+00:00,ciro caralho,1.0
lula na cadeia abrindo o recado do alvaro dias https://t.co/FovhTSb4qp,2018-10-05 00:16:20+00:00,lula o cadeia abrir o recadar alvaro,0.0
"Confederação de associações comerciais declara apoio a Bolsonaro. @jairbolsonaro #eleições2018
https://t.co/9gOurMqBOG https://t.co/0OiWJK3KxL",2018-10-04 23:10:00+00:00,confederação associação comerciar declarar apoiar o bolsonaro @jairbolsonaro eleições2018,1.0
“Tá bem em cima da hora mas bora ver o debate na casa do Edgar?” O tipo de role que eu gosto,2018-10-04 22:10:40+00:00,“ tá horar bora o debater o casar edgar o rolar gostar,1.0
#DebateNaGloboLixo #Eleicoes2018 Por quê  MORO NÃO PRENDEU NINGUÉM DO PSDB? Beto Richa do PSDB SEM FORO foi preso p… https://t.co/TIz9cc2hPj,2018-10-04 22:31:20+00:00,debatenaglobolixo eleicoes2018 morar prender ninguém psdb betar richa psdb foro presar p …,-1.0
ciro eh tao bom mas ai tu lembra da katia e chora,2018-10-04 23:18:38+00:00,ciro eh tao ai lembrar katia e chorar,-1.0
"Facada na democracia: Como não foi um crime comum, mas um atentado politico contra democracia e liberdade, facada em Bolsonaro parece fadada a repetir antecedentes polêmicos como os casos Celso Daniel e Toninho do PT (Vídeo no Youtube) https://t.co/E12Uo8KcX9",2018-10-05 00:25:41+00:00,facada o democracia comer crime comum atentar politicar democracia e liberdade facada bolsonaro parecer fadar o repetir antecedente polêmicos comer o caso celso daniel e toninho pt vídeo o youtube,-1.0
"Só lembrando: Bolsonarista, seu candidato não foi homem de ir ao debate porque não quer te contar o tanto que o Guedes vai fuder sua vida",2018-10-05 00:26:34+00:00,só lembrar bolsonarista candidatar homem o o debater querer contar o o guedes fuder suar vidar,-1.0
"Nisso eu tenho q concordar, eu não acertaria esse nome ao vivo nunca.",2018-10-05 00:47:54+00:00,n q concordar acertar o o viver,-1.0
A Marina é foda pqp socorrooooo deusssss,2018-10-04 22:10:57+00:00,o marino foder pqp socorrooooo deusssss,1.0
"Eleitores de Bolsonaro são mesmo diferenciados...ollha o show que dão enquanto o sinal fica vermelho , quando fica verde saim pra não atrapalhar o trânsito...nunca se viu uma campanha dessa pra nenhum candidato...tudo na paz e sem ganhar nada tudo de graça!!É 17. https://t.co/7T8l8rpAMW",2018-10-04 23:04:49+00:00,eleitor bolsonaro diferenciar ollha o show o sinal ficar vermelhar ficar saim pra atrapalhar o trânsito umar campanha d pra nenhum candidatar o paz e ganhar nado graça!!é 17,1.0
haddad jogou o bozo na rodinha do esmurro,2018-10-04 22:34:29+00:00,haddad jogar o bozo o roda esmurrar,1.0
Outra dupla progressista e de alto nível de debate e compreensão dos reais problemas do Brasil @cirogomes e… https://t.co/WLSjABXczF,2018-10-04 23:19:09+00:00,duplo progressista e alto debater e compreensão real problema brasil @cirogomes e …,1.0
Manifesto arrepiante do Boulos. Importantíssimo nesse perigo da hora. Valeu a noite,2018-10-04 22:56:47+00:00,manifestar arrepiante boulos importante n perigar horar valer o,1.0
"Gente agora é sério
Eu to muito preocupado com o futuro do nosso país
sinceramente o pt não pode voltar a governar e muito menos o coiso então pfvr vamos levar o Ciro pro segundo turno pq ele é o único que pode nos salvar do coiso #TsunamiCIRO https://t.co/lz8NhnR65D",2018-10-04 23:22:08+00:00,gente sério to preocupar o futurar país sinceramente o pt voltar o governar e o coiso pfvr levar o ciro pro segundar turno pq o único o salvar coiso tsunamiciro,-1.0
"A ignorância dos eleitores de bolsolixo é tão grande, que a maioria nem se dá ao trabalho de vê um debate ou saber… https://t.co/yHbTg0yc3l",2018-10-04 23:34:34+00:00,o ignorância eleitor bolsolixo o o o debater …,-1.0
De novo comida sem agrotóxico Guilherme Boulos?,2018-10-05 00:32:03+00:00,comido agrotóxico guilherme boulos,-1.0
E o Bolsonaro tá como? Assistindo o show do @DaniloGentili !     #BolsonaroNaRecord https://t.co/kHG9RLDhBo,2018-10-04 22:23:04+00:00,e o bolsonaro tá comer assistir o show @danilogentili bolsonaronarecord,0.0
Único defeito do Ciro é a vice dele,2018-10-05 00:01:53+00:00,único defeito ciro o viçar d,-1.0
“Nós somos passageiros. Nenhum de nós é dono da verdade. Estamos aqui para oferecer ao povo brasileiro um outro caminho. Não existe salvador da pátria. Vote Ciro 12.”  #DebateNaGlobo https://t.co/ISbvB930f0,2018-10-05 00:27:55+00:00,“ nó passageiro nenhum nó dono parir oferecer o o brasileiro caminhar existir salvador pátrio votar ciro 12 debatenaglobo,1.0
Globo barrou o Daciolo! Vai ter 51 nas urnas sim.,2018-10-04 22:27:26+00:00,globo barrar o daciolo 51 o urna,-1.0
"CABECINHA DE MAMÃE SOFREU ESSA DE CIRO VIU, PUTA MERDA",2018-10-04 23:14:28+00:00,cabeça mamãe sofrer ciro puta merda,-1.0
"Álvaro Dias começou e acaba a campanha passando vexame, mas a frase é forte: “queria perguntar para o candidato do PT, mas ele está preso em Curitiba”.",2018-10-04 22:54:04+00:00,álvaro começar e acabar o campanha passar vexame o frase forte “ querer perguntar parir o candidatar pt presar curitiba,-1.0
e se a gente imprimisse mais eleitores do boulos,2018-10-04 23:42:08+00:00,e o gente imprimir eleitor boulos,0.0
